key,GroupCount,Score_mean,Corr_mean,MAE_mean,RMSE_mean,Nuse_mean
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-2.5Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-2Hz,ord6,used256) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-3.5Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-3.5Hz,ord6,used256) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-3Hz,ord6,used256) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.8-2.5Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.8-2Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.8-2Hz,ord6,used256) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.8-3.5Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.8-3.5Hz,ord6,used256) | N=32 | hop=8 | harm=1(max3,r0.5)",3,-1.06416658315208,0.0560539168992863,12.8741006529194,14.2954640221621,2977.33333333333
