wavelet,vpo,lambda_hz2,harm_ratio,median_sec,mean_sec,fill_nan,Corr,MAE,RMSE,Bias,Coverage,Score,nPoints
morse,32,200,0.9,4,128,0,0.358759111802368,3.91579242677009,4.81189192618148,-1.6455664429733,1,36.735350473477,3010
morse,32,200,0.9,4,128,1,0.358759111802368,3.91579242677009,4.81189192618148,-1.6455664429733,1,36.735350473477,3010
morse,32,300,0.9,4,128,0,0.358759111802368,3.91579242677009,4.81189192618148,-1.6455664429733,1,36.735350473477,3010
morse,32,300,0.9,4,128,1,0.358759111802368,3.91579242677009,4.81189192618148,-1.6455664429733,1,36.735350473477,3010
morse,32,650,0.9,4,128,0,0.358759111802368,3.91579242677009,4.81189192618148,-1.6455664429733,1,36.735350473477,3010
morse,32,650,0.9,4,128,1,0.358759111802368,3.91579242677009,4.81189192618148,-1.6455664429733,1,36.735350473477,3010
morse,32,200,0.8,4,128,0,0.368703647186328,4.89786782200109,6.0361960600869,-3.99166811952489,1,35.9405476317672,3010
morse,32,200,0.8,4,128,1,0.368703647186328,4.89786782200109,6.0361960600869,-3.99166811952489,1,35.9405476317672,3010
morse,32,300,0.8,4,128,0,0.368703647186328,4.89786782200109,6.0361960600869,-3.99166811952489,1,35.9405476317672,3010
morse,32,300,0.8,4,128,1,0.368703647186328,4.89786782200109,6.0361960600869,-3.99166811952489,1,35.9405476317672,3010
morse,32,650,0.8,4,128,0,0.368703647186328,4.89786782200109,6.0361960600869,-3.99166811952489,1,35.9405476317672,3010
morse,32,650,0.8,4,128,1,0.368703647186328,4.89786782200109,6.0361960600869,-3.99166811952489,1,35.9405476317672,3010
morse,12,200,0.9,4,128,0,0.348130248003697,3.86990630717859,4.77134175326048,-1.43796706600541,1,35.5557227018285,3010
morse,12,200,0.9,4,128,1,0.348130248003697,3.86990630717859,4.77134175326048,-1.43796706600541,1,35.5557227018285,3010
morse,12,300,0.9,4,128,0,0.348130248003697,3.86990630717859,4.77134175326048,-1.43796706600541,1,35.5557227018285,3010
morse,12,300,0.9,4,128,1,0.348130248003697,3.86990630717859,4.77134175326048,-1.43796706600541,1,35.5557227018285,3010
morse,12,650,0.9,4,128,0,0.348130248003697,3.86990630717859,4.77134175326048,-1.43796706600541,1,35.5557227018285,3010
morse,12,650,0.9,4,128,1,0.348130248003697,3.86990630717859,4.77134175326048,-1.43796706600541,1,35.5557227018285,3010
morse,24,200,0.9,4,128,0,0.348130248003696,3.86990630717859,4.77134175326049,-1.43796706600543,1,35.5557227018284,3010
morse,24,200,0.9,4,128,1,0.348130248003696,3.86990630717859,4.77134175326049,-1.43796706600543,1,35.5557227018284,3010
morse,24,300,0.9,4,128,0,0.348130248003696,3.86990630717859,4.77134175326049,-1.43796706600543,1,35.5557227018284,3010
morse,24,300,0.9,4,128,1,0.348130248003696,3.86990630717859,4.77134175326049,-1.43796706600543,1,35.5557227018284,3010
morse,24,650,0.9,4,128,0,0.348130248003696,3.86990630717859,4.77134175326049,-1.43796706600543,1,35.5557227018284,3010
morse,24,650,0.9,4,128,1,0.348130248003696,3.86990630717859,4.77134175326049,-1.43796706600543,1,35.5557227018284,3010
morse,12,200,0.8,4,128,0,0.361220701192797,4.85792862259175,6.03481637209278,-3.98965798420208,1,35.0563575874249,3010
morse,12,200,0.8,4,128,1,0.361220701192797,4.85792862259175,6.03481637209278,-3.98965798420208,1,35.0563575874249,3010
morse,12,300,0.8,4,128,0,0.361220701192797,4.85792862259175,6.03481637209278,-3.98965798420208,1,35.0563575874249,3010
morse,12,300,0.8,4,128,1,0.361220701192797,4.85792862259175,6.03481637209278,-3.98965798420208,1,35.0563575874249,3010
morse,12,650,0.8,4,128,0,0.361220701192797,4.85792862259175,6.03481637209278,-3.98965798420208,1,35.0563575874249,3010
morse,12,650,0.8,4,128,1,0.361220701192797,4.85792862259175,6.03481637209278,-3.98965798420208,1,35.0563575874249,3010
morse,24,200,0.8,4,128,0,0.361220701192796,4.85792862259176,6.03481637209279,-3.9896579842021,1,35.0563575874248,3010
morse,24,200,0.8,4,128,1,0.361220701192796,4.85792862259176,6.03481637209279,-3.9896579842021,1,35.0563575874248,3010
morse,24,300,0.8,4,128,0,0.361220701192796,4.85792862259176,6.03481637209279,-3.9896579842021,1,35.0563575874248,3010
morse,24,300,0.8,4,128,1,0.361220701192796,4.85792862259176,6.03481637209279,-3.9896579842021,1,35.0563575874248,3010
