0.000000,76.00
2.984202,78.00
4.203579,83.00
5.700156,81.00
6.295589,83.00
6.986225,85.00
8.964517,83.00
15.434056,81.00
18.931495,76.00
21.453073,75.00
22.679340,76.00
24.698141,75.00
25.080721,76.00
25.510071,81.00
27.088499,78.00
29.203530,81.00
29.678525,83.00
30.312983,85.00
31.781139,88.00
33.179878,83.00
33.830717,81.00
35.098492,78.00
36.574846,81.00
37.485742,78.00
38.072515,76.00
40.847781,78.00
41.256321,81.00
44.915314,88.00
45.822447,90.00
55.269983,85.00
55.704461,88.00
58.559344,83.00
60.121824,85.00
61.832037,81.00
63.239031,83.00
63.689418,88.00
66.297035,90.00
68.844224,85.00
71.594632,81.00
72.525000,78.00
73.278747,76.00
74.261350,78.00
75.417714,76.00
76.092055,75.00
78.330969,76.00
79.813879,75.00
80.457045,76.00
82.204790,78.00
83.596158,81.00
86.901961,85.00
89.390913,78.00
92.092470,73.00
93.525063,75.00
94.712200,76.00
96.529314,75.00
97.078295,78.00
97.903391,76.00
98.579509,78.00
99.893331,75.00
101.177100,78.00
103.136230,83.00
105.473862,81.00
106.541140,78.00
111.224043,85.00
113.059219,81.00
113.625124,83.00
115.089154,81.00
115.960662,78.00
117.041163,76.00
117.643660,78.00
121.536595,76.00
122.516593,75.00
129.326384,75.00
136.009678,76.00
136.759275,75.00
137.254098,76.00
157.024399,73.00
158.504941,76.00
159.726010,78.00
160.793805,75.00
162.661885,76.00
163.635189,75.00
164.205942,76.00
165.058332,78.00
165.578235,81.00
166.607931,83.00
168.272364,81.00
173.201683,78.00
173.890209,76.00
174.424736,78.00
178.449841,75.00
181.760727,76.00
182.373710,81.00
183.813002,83.00
185.273949,85.00
187.657305,83.00
189.512214,81.00
195.354427,83.00
200.646623,78.00
201.473215,76.00
203.811459,78.00
204.880756,81.00
205.390868,83.00
206.028864,85.00
207.289354,88.00
208.462632,83.00
209.205759,88.00
210.469385,81.00
210.954177,83.00
213.634561,85.00
216.870334,81.00
221.534209,88.00
228.479195,85.00
239.421611,83.00
241.156558,78.00
245.661806,75.00
251.980698,71.00
252.819665,73.00
254.153563,75.00
256.565836,71.00
257.686468,68.00
258.411834,69.00
259.159889,71.00
273.598003,69.00
274.338876,73.00
277.615555,76.00
280.639968,75.00
283.606668,71.00
284.517048,73.00
285.164877,75.00
288.042381,71.00
291.499506,68.00
292.253301,66.00
292.976804,68.00
293.618518,71.00
294.618343,69.00
