dt_seconds,value
205.907596,23.00
208.769080,25.00
212.449874,20.00
215.555138,19.00
217.899699,20.00
222.079813,18.00
226.269006,17.00
232.780238,16.00
235.856627,17.00
243.236838,20.00
247.325145,18.00
256.105281,15.00
259.894217,14.00
261.806709,16.00
264.042980,18.00
267.526201,20.00
270.900183,21.00
274.226003,19.00
277.205730,18.00
294.058810,17.00
# --- NOVO DATASET 2025-11-12 18:22:04 ---
0.000036,40.00
2.489506,28.00
6.792633,20.00
9.912215,19.00
18.868659,17.00
# --- NOVO DATASET 2025-11-12 18:22:50 ---
0.000000,16.00
0.001771,18.00
0.003201,19.00
1.482993,18.00
3.891607,19.00
6.751266,20.00
9.367799,19.00
10.617018,26.00
# --- NOVO DATASET 2025-11-12 18:23:11 ---
0.000000,28.00
0.001813,31.00
0.002697,30.00
0.004220,26.00
2.815858,21.00
5.677681,19.00
6.865753,22.00
9.115640,23.00
15.461449,24.00
20.234251,21.00
23.581911,23.00
26.273447,22.00
29.012819,19.00
31.364939,21.00
35.898729,19.00
38.929833,18.00
40.844024,20.00
58.671653,22.00
62.348041,21.00
66.012759,17.00
69.252990,16.00
76.145103,17.00
83.671243,16.00
91.860607,15.00
105.294691,17.00
107.607277,19.00
110.933346,20.00
115.588650,19.00
118.603328,18.00
121.954448,16.00
132.341717,17.00
134.443203,19.00
136.630513,22.00
138.676934,27.00
140.908350,28.00
148.610602,31.00
152.458332,33.00
155.124605,30.00
157.992214,25.00
159.840768,26.00
162.057919,25.00
165.673729,22.00
171.409684,20.00
176.605764,22.00
180.074151,21.00
184.628954,18.00
188.271530,16.00
197.153436,19.00
199.348719,21.00
201.129537,24.00
203.488882,26.00
209.239542,24.00
212.570202,20.00
# --- NOVO DATASET 2025-11-12 18:37:29 ---
0.001563,25.00
0.002338,22.00
0.003721,19.00
0.004211,20.00
0.007026,16.00
0.732513,21.00
# --- NOVO DATASET 2025-11-12 18:37:42 ---
0.001162,22.00
0.002052,20.00
0.003593,24.00
0.004602,22.00
2.681966,20.00
5.681472,19.00
8.277287,20.00
11.228453,18.00
12.466944,24.00
14.079745,28.00
16.180751,30.00
19.565528,28.00
23.478707,21.00
24.983619,22.00
28.256501,19.00
31.397551,20.00
37.389917,19.00
40.951088,18.00
47.725059,19.00
51.109941,17.00
57.946062,18.00
62.483867,16.00
69.902113,15.00
72.808266,16.00
74.688601,19.00
76.296715,23.00
79.376404,25.00
84.778565,23.00
87.864869,20.00
90.821896,21.00
92.627405,23.00
105.134658,19.00
109.053900,17.00
113.580903,15.00
118.156165,18.00
122.804760,17.00
129.889904,18.00
133.575003,15.00
135.983712,18.00
142.372025,19.00
150.744229,20.00
160.813551,16.00
168.906332,18.00
171.025059,23.00
173.626503,28.00
177.375059,22.00
181.299899,19.00
184.920519,17.00
189.686049,15.00
192.040927,16.00
194.269501,18.00
199.905974,16.00
202.438683,18.00
# --- NOVO DATASET 2025-11-12 18:42:33 ---
0.001942,15.00
0.006644,16.00
0.007090,19.00
3.399931,18.00
6.878838,16.00
11.096823,15.00
13.068382,17.00
15.455910,20.00
# --- NOVO DATASET 2025-11-12 18:43:05 --- PRIMEIRO
0.001612,26.00
0.003550,24.00
0.005984,22.00
0.007186,23.00
0.515086,20.00
5.087175,17.00
9.138813,16.00
13.400819,14.00
18.125408,13.00
20.268157,15.00
23.200376,17.00
24.884972,20.00
29.459093,21.00
32.984454,18.00
40.465432,15.00
42.848768,17.00
49.047376,18.00
52.769973,19.00
56.925987,17.00
58.514140,20.00
# --- NOVO DATASET 2025-11-12 18:49:35 ---
0.000000,21.00
0.004464,18.00
0.006706,19.00
0.007609,23.00
0.008497,25.00
4.549092,27.00
6.367006,29.00
7.370492,35.00
9.882822,31.00
11.732728,33.00
# --- NOVO DATASET 2025-11-12 18:49:57 ---
0.002509,29.00
0.004815,23.00
0.007586,20.00
3.701342,16.00
5.865428,17.00
19.449716,16.00
# --- NOVO DATASET 2025-11-12 18:50:29 --- SEG
0.000000,18.00
0.001768,20.00
0.002958,19.00
0.005123,23.00
0.717960,21.00
2.982658,24.00
6.898738,21.00
12.048901,16.00
14.588484,17.00
17.481883,16.00
20.217627,18.00
22.225743,23.00
24.173618,25.00
26.530996,26.00
27.849863,31.00
31.392959,26.00
37.381161,18.00
40.102628,17.00
42.023690,16.00
43.602398,19.00
45.413750,30.00
50.192239,29.00
51.998007,28.00
53.526002,29.00
54.849152,35.00
57.881300,31.00
60.395356,28.00
# --- NOVO DATASET 2025-11-12 18:53:29 --- TER
0.001011,14.00
0.004831,17.00
0.006585,18.00
0.007559,16.00
0.008424,23.00
0.009359,27.00
0.010242,34.00
0.180628,31.00
4.050304,23.00
5.350021,25.00
8.930996,21.00
11.627999,20.00
19.400702,23.00
21.935540,20.00
25.249587,21.00
29.003925,19.00
33.649016,16.00
37.415035,15.00
