# --- NOVO DATASET 2026-01-15 12:57:29 ---
47459,-4.10,0.53,0.50,0.00
47479,-4.05,0.63,0.59,0.00
47499,-4.01,0.73,0.63,0.00
47519,-4.00,0.84,0.60,0.00
47539,-4.02,0.95,0.49,0.00
47559,-4.07,1.06,0.30,0.00
47579,-4.15,1.17,0.05,0.00
47599,-4.24,1.28,-0.26,0.00
47619,-4.29,1.39,-0.58,0.00
47639,-4.30,1.50,-0.90,0.00
47659,-4.28,1.61,-1.17,0.00
47679,-4.29,1.72,-1.39,0.00
47699,-4.33,1.83,-1.53,0.00
47719,-4.38,1.94,-1.57,0.00
47739,-4.49,2.05,-1.51,0.00
47759,-4.62,2.15,-1.36,0.00
47779,-4.76,2.25,-1.14,0.00
47799,-4.91,2.35,-0.85,0.00
47819,-4.99,2.45,-0.54,0.00
47839,-5.05,2.54,-0.21,0.00
47859,-5.18,2.63,0.11,0.00
47879,-5.31,2.72,0.39,0.00
47899,-5.47,2.80,0.63,0.00
47919,-5.61,2.87,0.81,0.00
47939,-5.64,2.94,0.94,0.00
47959,-5.04,3.01,1.01,0.00
47979,-5.20,3.07,1.03,0.00
47999,-5.38,3.12,1.02,0.00
48019,-5.54,3.18,0.99,0.00
48039,-3.62,3.22,0.95,0.00
48059,-3.81,3.27,0.90,0.00
48079,-4.03,3.31,0.86,0.00
48099,-4.26,3.35,0.84,0.00
48119,-4.51,3.39,0.83,0.00
48139,-4.80,3.42,0.83,0.00
48159,-5.09,3.45,0.82,0.00
48179,-5.28,3.47,0.80,0.00
48199,-5.23,3.49,0.75,0.00
48219,-4.96,3.51,0.65,0.00
48239,-4.85,3.52,0.50,0.00
48259,-4.92,3.53,0.30,0.00
48279,-5.05,3.53,0.07,0.00
48299,-5.22,3.53,-0.19,0.00
48319,-5.42,3.52,-0.44,0.00
48339,-3.56,3.51,-0.68,0.00
48359,-3.79,3.50,-0.89,0.00
48379,-4.01,3.49,-1.03,0.00
48399,-4.21,3.47,-1.11,0.00
48419,-4.43,3.46,-1.12,0.00
48439,-4.63,3.44,-1.06,0.00
48459,-4.75,3.41,-0.95,0.00
48479,-4.82,3.39,-0.79,0.00
48499,-4.85,3.36,-0.62,0.00
48519,-4.86,3.32,-0.46,0.00
48539,-4.96,3.29,-0.33,0.00
48559,-5.15,3.25,-0.23,0.00
48579,-5.34,3.21,-0.17,0.00
48599,-3.43,3.16,-0.15,0.00
48619,-3.60,3.12,-0.17,0.00
48639,-3.73,3.07,-0.20,0.00
48659,-3.83,3.03,-0.22,0.00
48679,-3.92,2.98,-0.23,0.00
48699,-4.01,2.93,-0.20,0.00
48719,-4.12,2.88,-0.14,0.00
48739,-4.25,2.83,-0.05,0.00
48759,-4.39,2.78,0.08,0.00
48779,-4.53,2.73,0.21,0.00
48799,-4.68,2.68,0.33,0.00
48819,-4.81,2.62,0.43,0.00
48839,-4.93,2.56,0.49,0.00
48859,-5.02,2.50,0.52,0.00
48879,-5.10,2.44,0.50,0.00
48899,-5.17,2.38,0.44,0.00
48919,-5.22,2.31,0.35,0.00
48939,-5.24,2.25,0.25,0.00
48959,-5.23,2.18,0.14,0.00
48979,-5.21,2.11,0.05,0.00
48999,-5.19,2.04,-0.02,0.00
49019,-5.19,1.97,-0.06,0.00
49039,-5.18,1.89,-0.06,0.00
49059,-5.18,1.82,-0.02,0.00
49079,-5.17,1.74,0.04,0.00
