timestamp,total,resp,heart,BR,HR
3598762.0,-0.3606005609035492,0.9642751812934875,0.2352685183286667,nan,nan
3598782.0,-0.32821235060691833,0.9825829267501831,0.2563214898109436,nan,nan
3598802.0,-0.2542320191860199,1.003360390663147,0.25058889389038086,nan,nan
3598822.0,-0.20064020156860352,1.0264763832092285,0.21592488884925842,nan,nan
3598842.0,-0.24596278369426727,1.0517516136169434,0.1532599925994873,nan,nan
3598862.0,-0.28410792350769043,1.0789114236831665,0.06652754545211792,nan,nan
3598882.0,-0.1814490109682083,1.1077126264572144,-0.037806108593940735,nan,nan
3598902.0,-0.3301030695438385,1.1379308700561523,-0.15143349766731262,nan,nan
3598922.0,-0.38088345527648926,1.169231653213501,-0.265068382024765,nan,nan
3598942.0,-0.6418583989143372,1.2011785507202148,-0.36949437856674194,nan,nan
3598962.0,-0.9346365928649902,1.2332091331481934,-0.45667335391044617,nan,nan
3598982.0,-1.1420001983642578,1.264710783958435,-0.5206881165504456,nan,nan
3599002.0,-1.0369118452072144,1.295285701751709,-0.5581952929496765,nan,nan
3599022.0,-0.8392465710639954,1.3248964548110962,-0.5681093335151672,nan,nan
3599042.0,-0.6170836091041565,1.3537225723266602,-0.5506912469863892,nan,nan
3599062.0,-0.4930260181427002,1.3819538354873657,-0.5066514015197754,nan,nan
3599082.0,-0.462475448846817,1.409656286239624,-0.4368034899234772,nan,nan
3599102.0,-0.4824282228946686,1.4367462396621704,-0.34237590432167053,nan,nan
3599122.0,-0.5383613109588623,1.463051676750183,-0.2257004827260971,nan,nan
3599142.0,-0.581180989742279,1.4883604049682617,-0.09086382389068604,nan,nan
3599162.0,-0.6381009817123413,1.5124638080596924,0.055998995900154114,nan,nan
3599182.0,-0.7347293496131897,1.5351426601409912,0.20688918232917786,nan,nan
3599202.0,-0.8640143275260925,1.5561370849609375,0.3525371551513672,nan,nan
3599222.0,-0.9590800404548645,1.575176477432251,0.4832620620727539,nan,nan
3599242.0,-0.976811408996582,1.5920573472976685,0.590004563331604,nan,nan
3599262.0,-0.9386093020439148,1.6066949367523193,0.6654500365257263,nan,nan
3599282.0,-0.8995793461799622,1.6190930604934692,0.7050625681877136,nan,nan
3599302.0,-0.8771400451660156,1.629279375076294,0.7077620029449463,nan,nan
3599322.0,-0.8746192455291748,1.6372658014297485,0.6760344505310059,nan,nan
