dt_seconds,value
203.422147,81.00
204.821004,78.00
206.708693,75.00
207.670859,73.00
209.105862,76.00
211.152353,78.00
211.837130,76.00
212.854449,78.00
214.071235,76.00
215.338384,81.00
217.971359,78.00
218.459200,83.00
219.892408,85.00
220.670844,83.00
223.350622,78.00
224.503098,81.00
225.219411,78.00
225.953320,81.00
226.553171,83.00
228.889970,88.00
232.932804,85.00
233.621128,83.00
234.219481,90.00
234.971085,88.00
238.450653,88.00
239.102430,83.00
239.853584,78.00
240.801661,73.00
241.719031,68.00
242.335410,65.00
243.303419,61.00
244.018458,58.00
244.564128,56.00
245.230611,54.00
245.835108,52.00
246.534577,50.00
247.786778,47.00
248.985852,44.00
249.818628,42.00
250.534756,41.00
251.368178,75.00
252.618580,76.00
253.220830,78.00
256.543123,76.00
258.300271,73.00
258.785315,75.00
259.851246,73.00
261.482199,76.00
265.418994,75.00
265.889672,76.00
266.391575,78.00
267.451429,76.00
268.485418,75.00
269.718473,73.00
270.385313,75.00
272.367368,71.00
273.135656,73.00
274.986086,71.00
275.635032,73.00
276.129825,75.00
278.559255,73.00
280.334036,75.00
282.179784,78.00
283.152433,76.00
286.540056,78.00
287.566674,76.00
288.044747,78.00
289.417086,76.00
290.032757,78.00
# --- NOVO DATASET 2025-11-06 14:49:56 ---
0.000000,73.00
0.002944,71.00
0.004270,75.00
0.005801,73.00
0.007048,71.00
0.009726,75.00
0.011149,73.00
0.012463,71.00
0.013744,73.00
0.015030,71.00
0.017459,75.00
0.335829,76.00
1.044644,78.00
2.305094,81.00
2.858103,83.00
3.471116,85.00
4.924845,88.00
6.437144,85.00
6.991886,88.00
8.059069,85.00
10.827255,83.00
12.992618,81.00
14.526685,78.00
15.638348,75.00
# --- NOVO DATASET 2025-11-06 14:51:55 ---
0.000000,81.00
0.003243,78.00
0.003894,76.00
0.004491,81.00
0.005389,75.00
0.006049,78.00
0.008777,76.00
0.009713,78.00
0.010586,81.00
0.011206,83.00
0.013031,81.00
0.487007,83.00
3.250587,81.00
4.056087,78.00
5.264595,76.00
6.142144,78.00
6.863200,76.00
7.399304,78.00
8.071447,81.00
9.325379,78.00
10.550818,75.00
13.025942,73.00
13.909602,71.00
14.435508,75.00
17.971121,76.00
# --- NOVO DATASET 2025-11-06 14:53:01 ---
0.000000,81.00
0.001525,78.00
0.002270,81.00
0.004129,78.00
0.005706,81.00
0.009449,78.00
0.011305,83.00
0.014139,81.00
0.017690,76.00
0.021655,75.00
0.268704,71.00
1.646607,73.00
2.873384,75.00
4.287819,76.00
4.863579,78.00
5.517154,81.00
7.048373,78.00
7.412119,83.00
8.074467,81.00
9.047703,83.00
10.489811,85.00
11.085423,90.00
11.832145,88.00
14.830899,85.00
16.780639,81.00
18.283574,83.00
19.235025,78.00
19.959105,76.00
20.890461,75.00
23.273078,76.00
24.025943,75.00
31.572285,73.00
32.040517,75.00
32.696682,76.00
34.012484,73.00
34.741172,75.00
36.150870,76.00
# --- NOVO DATASET 2025-11-06 15:52:54 ---
0.000000,88.00
0.001964,85.00
0.002567,90.00
0.005229,88.00
0.006397,85.00
0.007781,81.00
0.010284,83.00
0.015346,81.00
0.017193,76.00
0.024188,81.00
0.142818,78.00
2.394652,76.00
3.142867,75.00
4.045363,76.00
5.556168,81.00
7.500067,83.00
8.402925,81.00
9.239758,78.00
9.819051,83.00
10.528297,81.00
33.351314,78.00
34.886699,81.00
36.293321,76.00
36.807597,78.00
37.895483,76.00
44.872732,76.00
45.704336,75.00
47.679547,76.00
48.574784,75.00
49.725488,76.00
50.645331,75.00
53.016802,76.00
54.177894,83.00
56.946984,81.00
58.202302,76.00
60.142252,73.00
60.607318,75.00
61.279981,76.00
75.933212,75.00
77.134590,71.00
79.102358,66.00
81.295995,69.00
82.088775,71.00
82.574372,73.00
83.388245,75.00
83.919880,76.00
84.668169,78.00
85.988516,75.00
86.781769,73.00
88.576802,71.00
90.082304,75.00
90.610724,76.00
91.178963,81.00
93.030364,78.00
93.809237,76.00
95.410480,75.00
101.181364,76.00
107.431865,73.00
117.519520,71.00
130.804916,73.00
134.517464,71.00
136.683558,66.00
138.397008,65.00
139.157075,66.00
139.663412,68.00
141.822118,65.00
153.861909,65.00
154.504459,66.00
157.765123,65.00
158.465043,66.00
159.895576,68.00
161.710143,69.00
162.311222,71.00
162.948837,73.00
171.563576,75.00
172.792427,69.00
173.761550,71.00
174.495627,73.00
175.830961,69.00
176.880135,68.00
178.680665,69.00
223.551167,76.00
224.517532,73.00
226.221386,71.00
227.066452,73.00
228.534029,75.00
229.222856,76.00
258.962844,75.00
259.702012,76.00
280.121674,75.00
281.685492,73.00
282.390644,75.00
# --- NOVO DATASET 2025-11-06 15:58:17 ---
0.007253,81.00
0.025169,83.00
0.033636,83.00
0.036584,81.00
0.037929,85.00
0.039170,83.00
0.040376,78.00
0.040921,81.00
5.971768,78.00
# --- NOVO DATASET 2025-11-06 15:59:11 ---
0.003100,81.00
0.004722,83.00
0.009908,81.00
0.013152,78.00
0.016358,81.00
0.018385,85.00
0.030838,88.00
0.035998,85.00
2.318093,83.00
3.369244,81.00
3.796840,83.00
4.831495,85.00
7.259601,88.00
8.341658,83.00
11.104012,81.00
13.077324,83.00
14.183907,81.00
14.675743,85.00
15.606636,83.00
16.489575,78.00
17.731965,81.00
20.050949,83.00
20.874516,81.00
22.282212,78.00
22.768593,83.00
24.203486,81.00
25.621250,85.00
26.641891,88.00
30.559942,85.00
31.562339,83.00
32.191076,85.00
32.795433,83.00
35.311065,81.00
36.744905,83.00
37.661462,81.00
38.964968,78.00
45.962399,75.00
47.444499,76.00
51.015567,75.00
51.699490,76.00
53.273960,75.00
54.635896,76.00
55.706737,75.00
56.803544,71.00
57.319106,73.00
57.803780,76.00
59.848439,75.00
60.693950,73.00
63.447523,71.00
64.027246,75.00
65.841890,71.00
66.425847,73.00
66.969404,75.00
69.119477,73.00
76.056115,73.00
77.726334,69.00
78.216132,71.00
78.944723,75.00
79.969022,73.00
80.511810,76.00
83.563222,75.00
84.523392,76.00
84.930450,78.00
85.858305,81.00
98.142407,83.00
99.920462,81.00
100.738096,83.00
102.130372,81.00
102.835447,83.00
122.581816,73.00
124.345637,71.00
125.899228,73.00
127.495244,71.00
133.647976,68.00
134.115148,69.00
136.337772,65.00
136.875800,68.00
137.699688,69.00
139.135207,71.00
140.233222,73.00
140.710573,75.00
142.938793,76.00
154.366804,96.00
158.931807,103.00
159.690160,100.00
161.638602,96.00
163.294179,93.00
164.391241,88.00
167.048943,85.00
168.007623,83.00
169.241261,85.00
170.530974,83.00
171.156381,85.00
172.736699,83.00
183.380203,85.00
183.381901,88.00
183.382618,90.00
183.383366,93.00
183.385201,90.00
183.386082,88.00
183.387190,85.00
183.389475,83.00
185.325764,81.00
185.758940,85.00
186.371302,83.00
187.116054,85.00
188.121006,81.00
189.536706,78.00
190.436848,76.00
193.388918,78.00
194.835372,81.00
195.499281,83.00
196.722153,85.00
197.517410,83.00
198.263435,81.00
199.498466,78.00
202.407219,81.00
203.681161,85.00
205.018167,83.00
206.117863,85.00
209.055105,83.00
210.131856,81.00
211.100335,83.00
211.631272,85.00
213.339928,83.00
236.824272,73.00
237.420772,75.00
238.048952,76.00
239.557754,78.00
241.797792,81.00
242.718184,83.00
243.693556,78.00
244.349409,81.00
245.928933,83.00
246.599990,85.00
247.350058,83.00
248.866847,81.00
250.293175,78.00
250.964410,81.00
252.228727,76.00
253.698306,78.00
254.848877,75.00
259.314630,73.00
260.045689,71.00
261.149952,69.00
262.484002,71.00
263.344947,69.00
265.169016,68.00
265.714320,71.00
267.052086,73.00
267.601986,76.00
269.046877,78.00
269.983237,76.00
270.507137,81.00
271.477826,78.00
272.804725,76.00
273.354183,78.00
273.919592,81.00
274.700859,78.00
275.148006,83.00
276.435795,78.00
277.031528,81.00
280.270372,76.00
281.074328,75.00
283.127435,73.00
283.997795,71.00
290.519357,69.00
291.070214,73.00
292.046319,75.00
293.084762,73.00
294.143593,69.00
294.768271,73.00
295.667276,71.00
297.307724,69.00
297.908469,71.00
298.395011,75.00
299.407409,78.00
300.311162,81.00
301.783795,85.00
# --- NOVO DATASET 2025-11-06 16:23:24 ---
0.000000,81.00
0.003405,78.00
0.009578,76.00
0.016556,75.00
0.022634,76.00
0.026055,75.00
0.032766,76.00
0.037143,78.00
0.043016,75.00
0.532082,81.00
2.142155,78.00
4.879836,76.00
5.547912,78.00
8.365834,75.00
9.713937,76.00
11.029224,75.00
11.831598,76.00
13.202955,73.00
14.494851,71.00
15.045743,75.00
16.043921,73.00
17.197082,78.00
19.329137,75.00
19.995444,76.00
22.705927,75.00
23.366263,73.00
24.890791,75.00
25.613891,78.00
26.232622,76.00
27.527050,75.00
28.952440,69.00
29.749485,71.00
31.160547,69.00
33.043306,71.00
34.228934,68.00
34.610990,71.00
37.134756,69.00
37.813341,71.00
40.557349,75.00
40.976477,81.00
42.650792,78.00
44.197418,81.00
44.710641,83.00
45.501731,85.00
47.087539,83.00
47.863415,85.00
50.026332,78.00
50.596304,81.00
53.358470,78.00
54.504884,83.00
55.444550,81.00
55.954600,83.00
56.567208,81.00
58.517530,85.00
59.780170,88.00
60.444811,93.00
62.041541,90.00
67.878454,93.00
69.161112,88.00
69.844346,85.00
70.825440,83.00
72.542927,85.00
74.119960,83.00
78.478043,81.00
80.408583,76.00
81.077173,81.00
82.412566,83.00
84.513341,76.00
85.363574,75.00
86.716872,76.00
88.059774,75.00
88.807420,73.00
89.943792,75.00
92.707889,78.00
93.612966,76.00
95.565907,78.00
96.292427,83.00
99.122200,88.00
101.327965,85.00
102.058212,88.00
102.808989,85.00
107.144776,83.00
107.694101,85.00
108.472330,83.00
109.174007,85.00
110.026100,83.00
111.126709,81.00
117.503170,83.00
118.338640,81.00
119.329988,78.00
120.192329,76.00
122.291191,78.00
122.956754,83.00
123.742547,81.00
124.314694,83.00
125.113851,81.00
125.719191,83.00
128.004811,81.00
128.989592,78.00
131.383541,81.00
132.676453,83.00
134.251874,81.00
136.848974,76.00
138.748473,75.00
139.420128,73.00
139.980379,75.00
140.542370,76.00
141.412770,78.00
142.737934,81.00
144.377422,78.00
145.304093,76.00
146.216600,75.00
148.285579,73.00
148.891452,75.00
149.373329,76.00
150.139134,78.00
153.410080,81.00
154.326748,78.00
154.825598,81.00
157.806584,83.00
159.689991,85.00
160.408821,83.00
161.276752,81.00
164.628325,78.00
165.958745,75.00
166.638586,73.00
168.323110,71.00
170.465512,75.00
171.077554,73.00
171.566057,76.00
172.119005,78.00
173.410030,81.00
174.229682,78.00
177.448673,83.00
178.815943,88.00
180.468004,85.00
182.077897,83.00
182.992902,81.00
185.080244,78.00
186.231905,81.00
186.911422,83.00
187.575364,85.00
188.747181,81.00
190.413507,78.00
191.464686,76.00
192.827714,73.00
194.828181,71.00
198.049438,69.00
199.747217,68.00
202.258535,66.00
204.187934,65.00
204.974372,66.00
206.944226,68.00
208.422086,71.00
209.509345,69.00
210.016655,73.00
210.759721,71.00
211.460385,73.00
212.393275,71.00
213.129177,73.00
215.074529,75.00
215.667371,78.00
216.226368,81.00
216.677903,83.00
219.822214,81.00
220.674965,78.00
221.360425,81.00
221.857565,83.00
225.542636,81.00
225.965989,83.00
227.361973,78.00
230.192515,22.00
231.846913,21.00
234.078050,20.00
246.837891,83.00
247.622556,85.00
252.134268,83.00
252.661271,88.00
254.014448,85.00
254.692534,83.00
256.659269,85.00
257.639887,83.00
258.242850,85.00
259.403882,83.00
261.250012,85.00
262.740651,83.00
263.423745,85.00
265.211453,81.00
267.175342,78.00
268.198465,76.00
269.305682,73.00
270.142539,71.00
