left,12,14,,,'1762983785774'
left,12,13,,,'1762983785805'
left,12,11,,,'1762983785844'
left,12,11,,,'1762983785883'
left,12,13,,,'1762983785921'
left,12,14,,,'1762983785960'
left,12,13,,,'1762983786038'
left,12,13,,,'1762983786077'
left,12,13,,,'1762983786116'
left,12,14,,,'1762983786155'
left,12,14,,,'1762983786193'
left,12,13,,,'1762983786232'
left,12,11,,,'1762983786271'
left,12,13,,,'1762983786349'
left,12,14,,,'1762983786429'
left,12,13,,,'1762983786465'
left,12,11,,,'1762983786504'
left,12,11,,,'1762983786543'
left,12,13,,,'1762983786582'
left,12,14,,,'1762983786621'
left,12,13,,,'1762983786659'
left,12,11,,,'1762983786698'
left,12,11,,,'1762983786776'
left,12,13,,,'1762983786815'
left,12,14,,,'1762983786854'
left,12,14,,,'1762983786893'
left,12,13,,,'1762983786931'
left,12,11,,,'1762983786970'
left,12,11,,,'1762983787009'
left,12,14,,,'1762983787087'
left,12,14,,,'1762983787126'
left,12,13,,,'1762983787165'
left,12,13,,,'1762983787203'
left,12,13,,,'1762983787242'
left,12,14,,,'1762983787281'
left,12,13,,,'1762983787359'
left,12,11,,,'1762983787439'
left,12,13,,,'1762983787475'
left,12,14,,,'1762983787514'
left,12,14,,,'1762983787553'
left,12,13,,,'1762983787592'
left,12,13,,,'1762983787631'
left,12,13,,,'1762983787669'
left,12,14,,,'1762983787708'
left,12,14,,,'1762983787747'
left,12,13,,,'1762983787786'
left,12,11,,,'1762983787825'
left,12,11,,,'1762983787864'
left,12,13,,,'1762983787903'
left,12,14,,,'1762983787941'
left,12,14,,,'1762983788019'
left,12,11,,,'1762983788097'
left,12,11,,,'1762983788136'
left,12,13,,,'1762983788175'
left,12,14,,,'1762983788213'
left,12,13,,,'1762983788252'
left,12,11,,,'1762983788291'
left,12,13,,,'1762983788369'
left,12,14,,,'1762983788449'
left,12,13,,,'1762983788485'
left,12,11,,,'1762983788524'
left,12,11,,,'1762983788563'
left,12,13,,,'1762983788602'
left,12,14,,,'1762983788641'
left,12,14,,,'1762983788680'
left,12,13,,,'1762983788718'
left,12,13,,,'1762983788757'
left,12,13,,,'1762983788796'
left,12,14,,,'1762983788835'
left,12,14,,,'1762983788874'
