DEVICE INFO,,,,,
UUID,Name,,,,
8C:1F:64:AF:41:63,OmniBuds-4163,,,,
,,,,,
USER INFO,,,,,
Name,Age,Height,Weight,Gender,
Eduardo,19,180,68,male,
,,,,,
SENSOR CONFIGURATIONS,,,,,
Selected mode,Both,,,,
Time,00:01:02,,,,
Peripheral ID,Peripheral name,Endpoint ID,Endpoint name,Value,Formatted value
12,Respiration Rate,,,,
,,,,,
RECORDED DATA,,,,,
Earbud,Peripheral ID,Value 1,Value 2,Value 3,Timestamp
left,12,13,,,'1762984230782'
left,12,13,,,'1762984230821'
left,12,13,,,'1762984230860'
left,12,14,,,'1762984230899'
left,12,14,,,'1762984230937'
left,12,13,,,'1762984230976'
left,12,11,,,'1762984231015'
left,12,11,,,'1762984231054'
left,12,13,,,'1762984231093'
left,12,14,,,'1762984231173'
left,12,13,,,'1762984231209'
left,12,13,,,'1762984231248'
left,12,13,,,'1762984231287'
left,12,14,,,'1762984231326'
left,12,14,,,'1762984231365'
left,12,13,,,'1762984231404'
left,12,11,,,'1762984231442'
left,12,11,,,'1762984231481'
left,12,13,,,'1762984231520'
left,12,14,,,'1762984231598'
left,12,14,,,'1762984231637'
left,12,13,,,'1762984231676'
left,12,11,,,'1762984231753'
left,12,13,,,'1762984231792'
left,12,13,,,'1762984231870'
left,12,11,,,'1762984231909'
left,12,11,,,'1762984231947'
left,12,13,,,'1762984231986'
left,12,14,,,'1762984232025'
left,12,14,,,'1762984232064'
left,12,13,,,'1762984232103'
left,12,11,,,'1762984232183'
left,12,13,,,'1762984232219'
left,12,14,,,'1762984232258'
left,12,14,,,'1762984232297'
left,12,13,,,'1762984232336'
left,12,13,,,'1762984232375'
left,12,13,,,'1762984232414'
left,12,14,,,'1762984232452'
left,12,14,,,'1762984232491'
left,12,13,,,'1762984232530'
left,12,11,,,'1762984232569'
left,12,11,,,'1762984232608'
left,12,13,,,'1762984232646'
left,12,13,,,'1762984232763'
left,12,11,,,'1762984232841'
left,12,11,,,'1762984232880'
left,12,13,,,'1762984232918'
left,12,14,,,'1762984232957'
left,12,13,,,'1762984232996'
left,12,11,,,'1762984233035'
left,12,11,,,'1762984233074'
left,12,13,,,'1762984233113'
left,12,14,,,'1762984233193'
left,12,13,,,'1762984233229'
left,12,11,,,'1762984233268'
left,12,11,,,'1762984233307'
left,12,13,,,'1762984233346'
left,12,14,,,'1762984233385'
left,12,14,,,'1762984233424'
left,12,13,,,'1762984233462'
left,12,13,,,'1762984233501'
left,12,13,,,'1762984233540'
left,12,14,,,'1762984233579'
left,12,14,,,'1762984233618'
left,12,11,,,'1762984233696'
left,12,11,,,'1762984233734'
left,12,13,,,'1762984233773'
left,12,14,,,'1762984233812'
left,12,14,,,'1762984233851'
left,12,13,,,'1762984233890'
left,12,13,,,'1762984233928'
left,12,13,,,'1762984233967'
left,12,14,,,'1762984234045'
left,12,14,,,'1762984234084'
left,12,13,,,'1762984234123'
left,12,11,,,'1762984234203'
left,12,13,,,'1762984234239'
left,12,14,,,'1762984234278'
left,12,14,,,'1762984234317'
left,12,13,,,'1762984234356'
left,12,11,,,'1762984234395'
left,12,11,,,'1762984234434'
left,12,13,,,'1762984234472'
left,12,14,,,'1762984234511'
left,12,13,,,'1762984234550'
left,12,11,,,'1762984234589'
left,12,11,,,'1762984234628'
left,12,13,,,'1762984234666'
left,12,14,,,'1762984234744'
left,12,13,,,'1762984234784'
